丁	一 亅
七	一 乚	丿 乚
万	一 勹	一 刀
丈	一 乂
三	一 二	一 一 一
上	一 丨 一	丶 丨 一
下	一 卜	一 丨 丶
不	一 丿 丨 丶
丐	下 勹	正 丿
丑	㇆ 一 丨 一
且	月 一
丕	不 一
世	廿 丨 一
丘	厂 工	厂 丅 一
丙	一 人 冂
丞	氶 一
丢	丿 去
并	丷 开
丫	丶 丶 丨
中	口 丨
丰	丿 二 丨	三 丨
串	口 口 丨	中 口
丸	丶 九
丹	冂 丶 一
主	丶 王
乃	丿 ㇆ ㇆
久	丿 入
幺	𠃊 厶
乍	丿 丅 二
乎	丿 丷 一 亅
乏	丿 之
乒	丘 丿
乓	丘 丶
乖	千 北
乘	禾 北
乜	卩 乚
九	丿 乙
乞	丿 一 乙
也	卩 丨 乚
乩	占 乙
乳	孚 乙
干	一 十
乱	舌 乙	舌 乚
了	乛 亅
予	龴 乛 亅
事	一 口 聿	一 口 肀
二	一 一
亍	一 丁
于	二 亅
云	二 厶
互	一 彑
亓	一 丌
五	二 丨 ㇆
井	二 丿 丨
亘	一 旦	二 日
些	此 二
亚	一 业
亟	丂 口 又 一
亡	丶 匸
亢	亠 几
交	亠 父
亦	亠 丿 亅 八
亨	亠 口 了
享	亠 口 子
京	亠 口 小
亭	亠 口 冖 丁
亮	亠 口 冖 儿
亳	亠 口 冂 乇
亶	亠 回 旦
人	丿 乀
什	人 十	亻 十
仁	人 二	亻 二
仂	人 力	亻 力
仃	人 丁	亻 丁
仄	厂 人
仆	人 卜	亻 卜
仇	人 九	亻 九
仉	人 几	亻 几
今	人 丶 乛
介	人 丿 丨
仍	人 乃	亻 乃
仔	人 子	亻 子
仕	人 士	亻 士
他	人 也	亻 也
仗	人 丈	亻 丈
付	人 寸	亻 寸
仙	人 山	亻 山
同	冂 一 口
仞	人 刃	亻 刃
仟	人 千	亻 千
仡	人 乞	亻 乞
代	人 弋	亻 弋
令	人 一 卩
仨	人 三	亻 三
仫	人 么	亻 么
仰	人 卬	亻 卬
仲	人 中	亻 中
仳	人 比	亻 比
仵	人 午	亻 午
件	人 牛	亻 牛
任	人 壬	亻 壬
份	人 分	亻 分
仿	人 方	亻 方
企	人 止
伉	人 亢	亻 亢
伊	人 尹	亻 尹
伋	人 及	亻 及
伍	人 五	亻 五
伎	人 支	亻 支
伏	人 犬	亻 犬
伐	人 戈	亻 戈
休	人 木	亻 木
伙	人 火	亻 火
伢	人 牙	亻 牙
伯	人 白	亻 白
估	人 古	亻 古
伴	人 半
伶	人 令	亻 令
伸	人 申	亻 申
伺	人 司	亻 司
似	人 以	亻 以
伽	人 加	亻 加
伾	人 丕	亻 丕
佃	人 田	亻 田
但	人 旦	亻 旦
伫	人 宀 一	亻 宀 一	人 宀 丁 佇	亻 宀 丁 佇
布	一 丿 巾
位	人 立	亻 立
低	人 氐	亻 氐
住	人 主	亻 主
佐	人 左	亻 左
佑	人 右	亻 右
何	人 可	亻 可
佗	人 它	亻 它
佘	人 示
余	人 于 八
佚	人 失	亻 失
佛	人 弗	亻 弗
作	人 乍	亻 乍
佝	人 句	亻 句
佞	人 二 女	亻 二 女
佟	人 冬	亻 冬
你	人 尔	亻 尔
佣	人 用	亻 用
佤	人 瓦	亻 瓦
佩	人 几 帀	亻 几 帀
佬	人 老	亻 老
佯	人 羊	亻 羊
佰	人 百	亻 百
佳	人 圭	亻 圭	人 土 土	亻 土 土
佴	人 耳	亻 耳
佶	人 吉	亻 吉
佻	人 兆	亻 兆
佼	人 交	亻 交
佾	人 八 月	亻 八 月	人 八 肉	亻 八 肉
使	人 吏	亻 吏
侃	人 口 川	亻 口 川
侄	人 至	亻 至
来	一 米
侈	人 多	亻 多
侉	人 夸	亻 夸
例	人 列	亻 列
侍	人 寺	亻 寺
侏	人 朱	亻 朱
侑	人 有	亻 有
侔	人 牟	亻 牟
仑	人 匕
侗	人 同	亻 同
供	人 共	亻 共
依	人 衣	亻 衣
价	人 介	亻 介
侮	人 每	亻 每
侯	人 乛 一 矢	亻 乛 一 矢
侵	人 彐 冖 又	亻 彐 冖 又
侣	人 吕	亻 吕
便	人 更	亻 更
俣	人 吴	亻 吴
系	丿 糸	丿 幺 小
促	人 足	亻 足
俄	人 我	亻 我
俅	人 求	亻 求
俊	人 夋	亻 夋
俎	人 人 且	仌 且
俏	人 肖	亻 肖
俐	人 利	亻 利
俑	人 甬	亻 甬
俗	人 谷	亻 谷
俘	人 孚	亻 孚
俚	人 里	亻 里
俜	人 甹	亻 甹
保	人 呆	亻 呆
俞	人 一 月 刀	人 一 月 刂
俟	人 矣	亻 矣
侠	人 夹	亻 夹
信	人 言	亻 言
修	攸 彡
俯	人 府	亻 府
俱	人 具	亻 具
俳	人 非	亻 非
俵	人 表	亻 表
俶	人 叔	亻 叔
俸	人 奉	亻 奉
俺	人 奄
俾	人 卑	亻 卑
伥	人 长	亻 长
俩	人 两	亻 两
仓	人 卩	人 㔾
个	人 丨
倌	人 官	亻 官
倍	人 咅	亻 咅	人 立 口	亻 立 口
倏	攸 犬
们	人 门	亻 门
倒	人 到	亻 到
倓	人 炎	亻 炎
倔	人 屈	亻 屈
幸	土 丷 二 丨	土 羊
倘	人 尚	亻 尚
候	人 丨 乛 一 矢	亻 丨 乛 一 矢	侯 丨
倚	人 奇	亻 奇
倜	人 周	亻 周
倞	人 京	亻 京
借	人 昔	亻 昔
倡	人 昌	亻 昌
倥	人 空	亻 空
倦	人 卷	亻 卷
倨	人 居	亻 居
倩	人 青	亻 青
倪	人 兒	亻 兒
伦	人 仑	亻 仑
倬	人 卓	亻 卓
倭	人 委	亻 委
俭	人 佥	亻 佥
倻	人 耶	亻 耶
值	人 直	亻 直
偃	人 匽	亻 匽	人 匚 妟	亻 匚 妟	人 匚 日 女	亻 匚 日 女
假	人 叚	亻 叚
偈	人 曷	亻 曷
伟	人 韦	亻 韦
偌	人 若	亻 若
偎	人 畏	亻 畏
偏	人 扁	亻 扁
偕	人 皆	亻 皆
做	人 故	亻 故
停	人 亭	亻 亭
健	人 建	亻 建
偬	人 怱	亻 怱
偲	人 思	亻 思
侧	人 则	亻 则
侦	人 贞	亻 贞
偶	人 禺	亻 禺
偷	人 俞	亻 俞
伪	人 为	亻 为
傀	人 鬼	亻 鬼
傅	人 甫 寸	亻 甫 寸	亻 尃
傈	人 栗	亻 栗
傍	人 旁
杰	木 火	木 灬
伧	人 仓	亻 仓
伞	人 丷 十
备	夂 田
家	宀 豕
傣	人 泰	亻 泰
催	人 崔	亻 崔
傲	人 敖
传	人 专	亻 专
伛	人 区	亻 区
债	人 责	亻 责
伤	人 丿 一 力	亻 丿 一 力
傻	人 囟 儿 夕	亻 囟 儿 夂
倾	人 顷	亻 顷
偻	人 娄	亻 娄
仅	人 又	亻 又
僇	人 翏	亻 翏
佥	人 一 小 一
像	人 象	亻 象
侨	人 乔	亻 乔
僖	人 喜	亻 喜
僚	人 尞	亻 尞
侥	人 尧	亻 尧
僦	人 就	亻 就
僧	人 曽	亻 曽	人 曾	亻 曾
偾	人 贲	亻 贲
僬	人 焦	亻 焦
僭	人 朁	亻 朁
僮	人 童	亻 童
僰	棘 人
雇	户 隹
僳	人 粟	亻 粟
僵	人 畺	亻 畺
僻	人 辟	亻 辟
仪	人 义	亻 义
侬	人 农	亻 农
亿	人 乙	亻 乙
儆	人 敬	亻 敬
儇	人 睘	亻 睘
侩	人 会	亻 会
儋	人 詹	亻 詹
傧	人 宾	亻 宾
儒	人 需	亻 需
俦	人 寿	亻 寿
侪	人 齐	亻 齐
尽	尺 冰	尺 冫
偿	人 尝	亻 尝
儡	人 畾	亻 畾	人 田 田 田	亻 田 田 田
优	人 尤	亻 尤
储	人 诸	亻 诸
俪	人 丽	亻 丽
傩	人 难	亻 难
傥	人 党	亻 党
俨	人 严	亻 严
兀	一 儿
允	厶 儿
元	二 儿
兄	口 儿
充	亠 允
兆	儿 丷 八	冰 儿 丶 丶	冫 儿 丶 丶
凶	凵 乂
先	丿 土 儿
光	小 兀
兑	丷 兄	丷 口 儿
克	十 兄	十 口 儿
免	刀 口 丨 儿
兔	刀 口 丨 儿 丶
儿	丿 乚
兕	凹 儿
兖	亠 兊
兜	匚 白 ㇆ 一 儿
兢	克 克
入	乁 丿
内	冂 人
全	人 王
两	一 冂 丨 人 人
八	丿 乁
公	八 厶
六	亠 八
兮	八 丂
共	井 八	十 丨 一 八	二 丨 丨 八
兵	丘 八
其	甘 一 八
具	目 一 八
典	曲 八
兼	丷 一 彐 丨 丨 八	丷 一 聿 丨 丨 八	丷 一 肀 丨 丨 八
艺	草 乙	艸 乙	艹 乙
冀	北 異
圆	囗 员
冉	冂 十 一
册	⺆ ⺆ 一
再	一 冂 十 一
冒	冃 目	冂 二 目	曰 目	日 目
冕	冃 勉	冂 二 勉	曰 勉	日 勉
冗	冖 几
冠	冖 元 寸
冢	冖 豖
冤	冖 兔
冥	冖 日 大
幂	冖 日 大 巾
冬	夕 冰	夂 冫
冰	冰 水	冫 水
冱	冰 互	冫 互
冶	冰 台	冫 台
冷	冰 令	冫 令
冼	冰 先	冫 先
冽	冰 列	冫 列
准	冰 隹	冫 隹
凇	冰 松	冫 松
净	冰 争	冫 争
凋	冰 周	冫 周
凌	冰 夌	冫 夌
冻	冰 东	冫 东
凛	冰 禀	冫 禀
凝	冰 疑	冫 疑
几	丿 乙
凡	几 丶
处	夕 卜	夂 卜
凰	几 皇
凯	岂 几
凳	登 几
出	山 山	山 凵	凵 丨 凵
凼	凵 水
函	凵 氶
刀	㇆ 丿
刃	刀 丶
分	八 刀
切	七 刀
刈	乂 刀	乂 刂
刊	干 刀	干 刂
刍	刀 彐
刎	勿 刀	勿 刂
刑	开 刀	开 刂
划	戈 刀	戈 刂
刖	月 刀	月 刂
列	歹 刀	歹 刂
初	衣 刀	衤 刀
判	半 刀	半 刂
别	另 刀	另 刂
劫	去 力
刨	包 刀	包 刂
利	禾 刀	禾 刂
删	册 刀	册 刂
刮	舌 刀	舌 刂
到	至 刀	至 刂
刳	夸 刀	夸 刂
剁	朵 刀	朵 刂
制	丿 二 巾 刀	丿 二 巾 刂
刷	尸 巾 刀	尸 巾 刂
券	丷 夫 刀	𠔉 刀
刺	朿 刀	朿 刂	木 冂 刀	木 冂 刂
刻	亥 刀	亥 刂
剃	弟 刀	弟 刂
刭	圣 刀	圣 刂
剅	豆 刀	豆 刂
则	贝 刀	贝 刂
削	肖 刀	肖 刂
剌	束 刀	束 刂
前	丷 一 肉 刀	丷 一 月 刂
刹	杀 刀	杀 刂
剔	易 刀	易 刂
剕	非 刀	非 刂
剖	咅 刀	咅 刂	立 口 刀	立 口 刂
刚	冈 刀	冈 刂
剜	宛 刀	宛 刂
剥	录 刀	录 刂
剞	奇 刀	奇 刂
剟	叕 刀	叕 刂
剡	炎 刀	炎 刂
剑	佥 刀	佥 刂
剂	齐 刀	齐 刂
剩	乘 刀	乘 刂
剪	前 刀
剐	呙 刀	呙 刂
副	畐 刀	畐 刂
割	害 刀	害 刂
剀	岂 刀	岂 刂
创	仓 刀	仓 刂
剽	票 刀	票 刂
剿	巢 刀	巢 刂
劁	焦 刀	焦 刂
劂	厥 刀	厥 刂
剧	居 刀	居 刂
劈	辟 刀
刘	文 刀	文 刂
刽	会 刀	会 刂
刿	岁 刀	岁 刂
劐	蒦 刀	蒦 刂
劓	鼻 刀	鼻 刂
力	丿 ㇆
功	工 力
加	力 口
劣	少 力
助	且 力
努	奴 力
劬	句 力
劭	召 力
劳	草 冖 力	艸 冖 力	艹 冖 力
劾	亥 力
劲	圣 力
勃	孛 力
勇	甬 力
勉	免 力
勍	京 力
勐	孟 力
勒	革 力
动	云 力
勖	冒 力
勘	甚 力
务	夕 力	夂 力
勋	员 力
胜	肉 生	月 生
募	莫 力
势	埶 力 勢	执 力 勢
勤	堇 力
劝	又 力
勚	贳 力
勰	劦 思
劢	万 力
励	厉 力
勺	勹 丶
匀	勹 冰	勹 冫
勾	勹 厶
勿	勹 丿 丿
包	勹 己
匆	勿 丶
匈	勹 凶
匏	夸 包
匐	勹 畐
匕	乚 丿
化	人 匕	亻 匕
北	丬 匕
匙	是 匕
匜	匚 也
匝	匚 巾
匠	匚 斤
匡	匚 王
匣	匚 甲
匪	匚 非
匦	匚 轨
汇	水 匚	氵 匚
匮	匚 贵
匹	匸 儿	匚 儿
匾	匸 扁	匚 扁
匿	匸 若	匚 若
区	匸 乂	匚 乂
十	一 丨
千	丿 十
卅	川 一
升	千 丨	丿 十 丿
午	丿 干
卉	十 廾
半	丷 一 十	八 一 十
卑	丶 田 丿 十
卒	亠 人 十
卓	卜 日 十
协	十 办
南	十 冂 丫 二
博	十 尃	十 甫 寸
卜	丨 丶
卞	丶 下
卟	口 卜
占	卜 口
卡	上 卜	上 下
卣	卜 囙
卦	圭 卜
卮	厂 一 卩
卯	卬 丿	匸 丿 卩
印	卬 一	匸 一 卩
危	厃 卩	刀 厂 卩	厃 㔾	刀 厂 㔾
即	艮 卩
卵	卯 丶 丶	匸 丿 丶 卪
卷	丷 夫 卩	𠔉 㔾
卺	丞 卩	丞 㔾
却	去 卩
卿	卯 艮 卩	匸 丿 即
厄	厂 卩	厂 㔾
厍	厂 车
厚	厂 日 子
厅	厂 丁
厝	厂 昔
原	厂 白 小	厂 泉
厥	厂 欮
厌	厂 犬
厉	厂 万
严	亚 丿
厣	厌 甲	厂 犬 甲
去	土 厶
厾	乁 去
参	厶 大 彡
叁	厶 大 三
叉	又 丶
及	乃 乀
友	一 丿 又
反	厂 又
叔	上 小 又	尗 又
取	耳 又
受	爪 冖 又	爫 冖 又
叛	半 反
叟	臼 丨 又
丛	从 一
口	丨 乛 一	冂 一
古	十 口
句	勹 口
另	口 力
叨	口 刀
叩	口 卩
只	口 八
叫	口 丩
召	刀 口
叭	口 八
叮	口 丁
可	一 口 亅	丁 口
台	厶 口
叱	口 匕
史	口 乂
右	一 丿 口
叵	匚 口
司	㇆ 一 口
叻	口 力
叼	口 刁
吁	口 于
吃	口 乞
各	夂 口
吆	口 幺
合	人 一 口
吉	士 口
名	夕 口
后	厂 一 口
吏	一 口 乂	一 口 丿 乀
吐	口 土
向	丶 冂 口
咤	口 宅 吒
吓	口 下
君	尹 口
吝	文 口
吞	天 口
吟	口 今
吠	口 犬
吡	口 比
吣	口 心
否	不 口
吧	口 巴
吩	口 分
含	今 口
吭	口 亢
吮	口 允
吱	口 支
吲	口 引
吴	口 天
吵	口 少
呐	口 内
吸	口 及
吹	口 欠
吻	口 勿
吼	口 孔
吾	五 口
呀	口 牙
吕	口 口
呃	口 厄
呆	口 木
呈	口 王
告	牛 口
呋	口 夫
呔	口 太
呢	口 尼
呤	口 令
呦	口 幼
周	冂 土 口
呱	口 瓜
呲	口 此
味	口 未
呵	口 可
呶	口 奴
呷	口 甲
呸	口 丕	口 不 一
呻	口 申
呼	口 乎
命	人 一 叩
咀	口 且
咂	口 匝
咄	口 出
咆	口 包
咋	口 乍
和	禾 口
咎	久 人 口	夂 人 口
咐	口 付
咒	口 口 几
咔	口 卡
咕	口 古
咖	口 加
咚	口 冬
咣	口 光
咦	口 夷
咧	口 列
咨	次 口
咩	口 羊
咪	口 米
咫	尺 只
咬	口 交
咭	口 吉
咯	口 各
咱	口 自
咳	口 亥
咴	口 灰
咸	戊 一 口
咻	口 休
呙	口 内
咽	口 因
咿	口 伊
哀	衣 口
品	口 口 口
哂	口 西
哄	口 共
哆	口 多
哇	口 圭	口 土 土
哈	口 合
哉	十 戈 口	土 戈 口	𢦏 口
哌	口 厂 氏
响	口 向
哎	口 艾
哏	口 艮
哐	口 匡
哚	口 朵
哞	口 牟
员	口 贝
哥	可 可
哦	口 我
哧	口 赤
哨	口 肖
哩	口 里
哪	口 那
哭	口 口 犬
哮	口 孝
哲	折 口
哳	口 折
哺	口 甫
哼	口 享
哽	口 更
哿	加 可
唁	口 言
呗	口 贝
唆	口 夋
唇	口 辰
唉	口 矣
唏	口 希
唐	广 肀 口	广 聿 口
唑	口 坐
唔	口 吾
哑	口 亚
唣	口 皂
唧	口 即
唪	口 奉
唬	口 虎
售	隹 口
唯	口 隹
唱	口 昌
唳	口 戻
唷	口 育
念	今 心
唼	口 妾
唾	口 垂
唿	口 忽
啁	口 周
啃	口 肯
啄	口 豖
商	亠 丷 冂 儿 口	亠 丷 冏
啉	口 林
啊	口 阿
问	门 口
啐	口 卒
启	户 口
啕	口 匋
啖	口 炎
啜	口 叕
啡	口 非
啤	口 卑
啥	口 舍
啦	口 拉
啪	口 拍
啵	口 波
啶	口 定
啷	口 郎
啻	帝 口
啼	口 帝
啾	口 秋
喀	口 客
喁	口 禺
喂	口 畏
喃	口 南
善	羊 丷 一 口
喇	口 剌
喈	口 皆
喉	口 侯
喊	口 咸
喋	口 枼	口 世 木
喏	口 若
喑	口 音
喔	口 屋
喘	口 耑	口 山 而
喙	口 彖
唤	口 奂
喜	士 口 丷 一 口
喝	口 曷
喟	口 胃
喤	口 皇
喧	口 宣
乔	夭 丿 丨
单	丷 甲 一
喱	口 厘
哟	口 约 喲
喳	口 查
喵	口 苗
营	草 冖 吕	艸 冖 吕	艹 冖 吕
喹	口 奎
喻	口 俞
嗄	口 夏
嗅	口 臭
呛	口 仓
啬	土 丷 回
嗉	口 素
唝	口 贡
嗌	口 益
嗍	口 朔
吗	口 马
嗑	口 盍	口 去 皿
嗒	口 荅
嗓	口 桑
嗔	口 真
嗖	口 叟
呜	口 乌
嗜	口 耆	口 老 日
嗝	口 鬲
嗞	口 兹
嗟	口 差
嗡	口 翁
嗣	口 冊 司
嗤	口 蚩
嗥	口 皋
嗦	口 索
嗨	口 海
唢	口 小 贝
嗪	口 秦
嗬	口 荷
嗯	口 恩
嗲	口 爹
嗵	口 通
哔	口 毕
嗷	口 敖
嗽	口 欶	口 束 欠
嗾	口 族
嘀	口 啇
嘁	口 戚
叹	口 又
嘈	口 曹
嘉	吉 丷 一 加	士 口 丷 一 加
嘌	口 票
喽	口 娄
嘎	口 戛
嘏	古 叚
呕	口 区
啧	口 责
尝	小 冖 云
嘚	口 得
嘛	口 麻
唛	口 麦
嘞	口 勒
嘟	口 都
嘡	口 堂
嘣	口 朋
嘧	口 密
啸	口 肃
哗	口 华
嘬	口 最
嘭	口 彭
唠	口 劳
叽	口 几
嘲	口 朝
嘴	口 觜
哓	口 尧
嘶	口 斯
嘹	口 尞
嘻	口 喜
啴	口 单
嘿	口 黑
噀	口 巽
恶	亚 心
噌	口 曽	口 曾
噍	口 焦
噎	口 壹
嘘	口 虚
噔	口 登
噗	口 菐
噙	口 禽
啮	口 齿
咝	口 丝
噢	口 奥
噤	口 禁
哝	口 农
哕	口 岁
器	口 口 大 口 口
噩	王 口 口 口 口	一 口 口 一 口 口 一 丨
噪	口 喿	口 品 木
噫	口 意
噬	口 筮
嗳	口 爱
噱	口 豦
哙	口 会
喷	口 贲
噶	口 葛
吨	口 屯
当	小 彐
噻	口 塞
噼	口 辟
咛	口 宁
嚄	口 蒦
嚅	口 需
嚆	口 蒿
嚎	口 豪
嚏	口 疐
嚓	口 察
噜	口 鲁
嚚	口 口 臣 口 口
呖	口 历
咙	口 龙
嚯	口 霍
亸	享 单
喾	小 冖 告
嘤	口 婴
嚷	口 襄
嚼	口 爵
啭	口 转
嗫	口 聂
嚣	口 口 页 口 口
冁	单 展
呓	口 艺
啰	口 罗
囊	一 口 丨 冂 口 口 井 一 
苏	草 办	艸 办	艹 办
嘱	口 属
囔	口 囊
回	囗 口
囚	囗 人
四	囗 儿
囝	囗 子
囟	丶 囗 乂
因	囗 大
囡	囗 女
囤	囗 屯
囫	囗 勿
困	囗 木
囱	丶 囗 夕
围	囗 韦
图	囗 冬
囹	囗 令
固	囗 古
囿	囗 有
圃	囗 甫
圄	囗 吾
囵	囗 仑
圈	囗 卷
圉	囗 幸
圊	囗 青
国	囗 玉
园	囗 元
团	囗 才
圜	囗 睘
土	十 一
压	厂 圡
在	一 人 土	一 亻 土
圩	土 于
圪	土 乞
圬	土 亏
圭	土 土
圮	土 己
圯	土 已	土 巳
地	土 也
圳	土 川
圻	土 斤
圾	土 及
址	土 止
坂	土 反
均	土 匀
坊	土 方
坌	土 分
坍	土 丹
坎	土 欠
坐	人 人 土
坑	土 亢
坡	土 皮
坤	土 申
坦	土 旦
坨	土 它
坩	土 甘
坪	土 平
坫	土 占
坭	土 尼
坯	土 丕
坳	土 幼
坷	土 可
坻	土 氐
坼	土 斥
垂	丿 二 土 丨 丨
垃	土 立
型	刑 土
垌	土 同
垍	土 自
垓	土 亥
垛	土 朵
垞	土 宅
垟	土 羊
垠	土 艮
垡	伐 土
垢	土 后
垣	土 亘
垤	土 至
垧	土 向
垮	土 夸
垸	土 完
坝	土 贝
埂	土 更
埃	土 矣
埋	土 里
城	土 成
埏	土 延
埒	土 寽
埔	土 甫
埕	土 呈
埝	土 念
域	土 或
埠	土 阜
垭	土 亚
埭	土 隶
埯	土 奄
埴	土 直
执	手 丸	扌 丸	才 丸
埸	土 易
培	土 咅
基	其 土
埼	土 奇
埽	土 帚
堂	尚 土
昆	日 比
坚	丨 丨 又 土
堆	土 隹
堇	廿 口 丰
堉	土 育
垩	亚 土
堋	土 朋
堌	土 固
堍	土 兔
堙	土 西 土
埚	土 呙
堞	土 枼
堠	土 侯
堡	保 土
堤	土 是
堪	土 甚
堰	土 匽
报	手 卩 又	扌 卩 又	才 卩 又
场	土 弓 丿 丿
堵	土 者
塃	土 荒
塄	土 目 方	土 罒 方
塈	既 土
块	土 夬
茔	草 冖 土	艸 冖 土	艹 冖 土
塌	土 日 羽	土 曰 羽
塍	肉 丷 夫 土	月 丷 夫 土	肉 𠔉 土	月 𠔉 土
垲	土 岂
塑	朔 土
埘	土 时
塔	土 荅
涂	水 余	氵 余 土 塗	氵 余
塘	土 唐
塞	宀 井 大 土
填	土 真
坞	土 乌
埙	土 员
塥	土 鬲
盐	土 卜 皿
塬	土 原
塮	土 射
尘	小 土
堑	斩 土
塾	孰 土
墀	土 犀
墁	土 曼
境	土 竟
墅	野 土
墈	土 勘
墉	土 庸
垫	执 土
墒	土 商
墓	莫 土
增	土 曾
坠	队 土
墟	土 虚
墦	土 番
墨	黑 土
墩	土 敦
堕	陏 土
坟	土 文
墙	土 啬
垦	艮 土
壁	辟 土
壅	雍 土
坛	土 云
坏	土 不
垱	土 当
壑	卜 冖 一 谷 又 土
壕	土 豪
垒	厽 土	厶 厶 厶 土
圹	土 广
